Name,Phone_Number,Category,Sub_Categories,Website,Rating,Review_Number,Working_Hours,Media,Place_Google_ID,Longitude,Latitude,District,City,Pics_Number,Logo,Description,Description_AR,Zip,Price_Range,Verified,Amenities,Full_Address,Order_Link,Reservation_Link,Average_Bill,Status,HudHud_Media,Google_Link,Store_Front,Is_Landmark
Localizer Mall,+966 11 464 7894,Shopping mall,Shopping mall,,3.9,9392.0,,['https://lh5.googleusercontent.com/p/AF1QipN1IqKeEgZSZWNBmBaBRpB1--ixWt4zVP8NJaNh=w408-h306-k-no'],ChIJZQCSFRYDLz4RHVpOxqM-wxE,46.6916036,24.699056,Al Olaya,Riyadh,4903.0,https://lh6.googleusercontent.com/-x6K5y1K5Heo/AAAAAAAAAAI/AAAAAAAAAAA/opG8fOrclq0/s44-p-k-no-ns-nd/photo.jpg,,,12222.0,,Claimed business,,SA|12222|Riyadh|2803 Prince Muhammad Ibn Abd Al Aziz|Al Olaya,,,,open,,https://www.google.com/maps/place/?q=place_id:ChIJZQCSFRYDLz4RHVpOxqM-wxE,[],
Half Million,,Coffee shop,Coffee shop|Cafe,http://halfm.sa/,4.1,9304.0,1: Open 24 hours|2: Open 24 hours|3: Open 24 hours|4: Open 24 hours|5: Open 24 hours|6: Open 24 hours|7: Open 24 hours,['https://lh5.googleusercontent.com/p/AF1QipO5q2sjXYzOuLzcyDw0okBxe303vZ3pdD9JkSMd=w408-h306-k-no'],ChIJQQqhEPvjLj4RADQA9qs0OpA,46.6736703,24.6917737,Al Olaya,Riyadh,4423.0,https://lh5.googleusercontent.com/-nlIDM9CmzFI/AAAAAAAAAAI/AAAAAAAAAAA/5UKvyBH1CXc/s44-p-k-no-ns-nd/photo.jpg,"Half Million is a specialty coffee chain known for its high-quality ingredients and immersive coffee experience. The café offers a wide menu of specialty coffee drinks, along with light bites and snacks.

","Half Million هي سلسلة مقاهي متخصصة في القهوة، شهيرة بمكوناتها عالية الجودة وتجربة القهوة الغامرة
 يقدم المقهى قائمة واسعة من مشروبات القهوة المتخصصة، بالإضافة إلى وجبات خفيفة ",,$$,Claimed business,Dine-in|Curbside pickup|No-contact delivery,"SA|12313|Riyadh|3043 Prince Muhammad Ibn Abd Al Aziz, 7876|Al Olaya",,,,open,"['https://drive.google.com/open?id=1FF9C5OqYwUp1xnNjdZh2tLJK5iPi_NQm','https://drive.google.com/open?id=1CQdm9EKQND-9Z7O9yhiyEfRUtYOO7acP','https://drive.google.com/file/d/1m_EMmPAdNJ2nubi-F7sQVtpAx_sK1wYf/view','https://drive.google.com/open?id=1i0xiCRfswS6bYyiWDUuPrgRGg0sqjnE-',' https://drive.google.com/open?id=1icAyv2s21_fy04gVqJC72NHwhwq3nGHY','https://drive.google.com/open?id=1EUwoKmqAdfsUy_IFfAGOjqOpAdfhX_Ik','https://drive.google.com/open?id=1oFYnDHvq6J-eNhvC9HdEItxzpyoGjcxA',' https://drive.google.com/open?id=1BwJ7aPrZYX7xQKekr-8uak2-rDAFTVHO',' https://drive.google.com/open?id=1QNhydVpMaKgOsgSCCoXwdqsCbvZ5tI0_']",https://www.google.com/maps/place/?q=place_id:ChIJQQqhEPvjLj4RADQA9qs0OpA,[],
Century Burger | سنشري برجر,+966 9200 33900,Hamburger restaurant,Hamburger restaurant,http://centuryburger.com/,4.3,8549.0,1: 11 AM–4 AM|2: 11 AM–4 AM|3: 11 AM–4 AM|4: 11 AM–4 AM|5: 11 AM–4 AM|6: 1 PM–4 AM|7: 11 AM–4 AM,['https://lh5.googleusercontent.com/p/AF1QipOP_HM-TsZabZksiccCT4i52xbxfk44E3Xy21rQ=w408-h272-k-no'],ChIJ29DWkz0DLz4RNKbtP9aq7L0,46.6894068,24.698376,Al Olaya,Riyadh,3455.0,https://lh5.googleusercontent.com/-_zG8CHzQx24/AAAAAAAAAAI/AAAAAAAAAAA/dFBicuY7EkM/s44-p-k-no-ns-nd/photo.jpg,"Half Million is a specialty coffee chain known for its high-quality ingredients and immersive coffee experience. The café offers a wide menu of specialty coffee drinks, along with light bites and snacks.
",,12222.0,$$,Claimed business,Dine-in|Takeout|No-contact delivery,SA|Riyadh|Prince Muhammad Ibn Abd Al Aziz|Al Olaya,,,,open,,https://www.google.com/maps/place/?q=place_id:ChIJ29DWkz0DLz4RNKbtP9aq7L0,[],
Najd Village,+966 9200 33511,Traditional restaurant,Traditional restaurant|Restaurant|Rice restaurant,http://najdvillage.com/,3.8,8439.0,1: 11 AM–12 AM|2: 11 AM–12 AM|3: 11 AM–12 AM|4: 11 AM–12 AM|5: 11 AM–12 AM|6: 11 AM–12 AM|7: 11 AM–12 AM,['https://lh5.googleusercontent.com/p/AF1QipNBNNeTDj_YayeuXfuuD4l3RbzXgXfMbg9g0kbJ=w408-h306-k-no'],ChIJvQ-6F9McLz4RYaUxjrbxKnM,46.6692333,24.6976883,Al Olaya,Riyadh,6962.0,https://lh5.googleusercontent.com/-o3RKQwgi07o/AAAAAAAAAAI/AAAAAAAAAAA/rS11ycEnXcE/s44-p-k-no-ns-nd/photo.jpg,,,12331.0,$$,Claimed business,Dine-in|Takeout|No-contact delivery,SA|Riyadh|شارع التخصصي،|Al Olaya,http://najdvillage.com/contact/,najdvillage.com,,open,,https://www.google.com/maps/place/?q=place_id:ChIJvQ-6F9McLz4RYaUxjrbxKnM,[],
نقي لتحلية المياه - الإدارة العامة | NAQI water purification - head office,+966 9200 21500,Water purification company,Water purification company,https://naqi.sa/,4.7,8233.0,1: 9:30 AM–6:30 PM|2: 9:30 AM–6:30 PM|3: 9:30 AM–6:30 PM|4: 9:30 AM–6:30 PM|5: 9:30 AM–6:30 PM|6: Closed|7: 1–6:30 PM,['https://lh5.googleusercontent.com/p/AF1QipPWE1tnZ5wtKghnwaK_8LDlacNNmyd9B3taUsrc=w408-h544-k-no'],ChIJBZO-6twDLz4RSeb-qOpFSPw,46.689555,24.6837201,Al Olaya,Riyadh,354.0,https://lh4.googleusercontent.com/-5Ni3c6bsgEM/AAAAAAAAAAI/AAAAAAAAAAA/k1ayL5koDAM/s44-p-k-no-ns-nd/photo.jpg,,,12211.0,,Claimed business,,SA|Riyadh|Olaya St|Al Olaya,,,,open,,https://www.google.com/maps/place/?q=place_id:ChIJBZO-6twDLz4RSeb-qOpFSPw,[],
The Butcher Shop & Grill,+966 11 288 5156,Steak house,Steak house|Butcher shop|Meat products store|Restaurant,http://butchershoparabia.com/ksa/?y_source=1_ODIzODUyNDMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.7,8026.0,1: 10 AM–12 AM|2: 10 AM–12 AM|3: 10 AM–12 AM|4: 10 AM–12 AM|5: 10 AM–1 AM|6: 12:30 PM–1 AM|7: 10 AM–12 AM,['https://lh5.googleusercontent.com/p/AF1QipOhkwuV8GMQ5gfGyE738gWabhRFUpLpwOSZRQ5C=w408-h544-k-no'],ChIJlYJgUxYDLz4RpaENOLfsAJs,46.6919626,24.7002944,Al Olaya,Riyadh,4705.0,https://lh3.googleusercontent.com/-l0MvrmKZuCw/AAAAAAAAAAI/AAAAAAAAAAA/TFA8Yx562yo/s44-p-k-no-ns-nd/photo.jpg,,,12241.0,$$$,Claimed business,Dine-in|Takeout|No-contact delivery,SA|12241|Riyadh|Tahlia street|Al Olaya,,,,open,,https://www.google.com/maps/place/?q=place_id:ChIJlYJgUxYDLz4RpaENOLfsAJs,[],
Al Faisaliah Mall,,Shopping mall,Shopping mall,https://alfaisaliahmall.com/,4.1,7601.0,1: 10 AM–11 PM|2: 10 AM–11 PM|3: 10 AM–11 PM|4: 10 AM–11 PM|5: 10 AM–11 PM|6: 2–11 PM|7: 10 AM–11 PM,['https://lh5.googleusercontent.com/p/AF1QipN6qHj4Q68fe6qnFCOQT4Q5XETBgXtjd63HdMC-=w414-h240-k-no'],ChIJHVJUQ0cDLz4RYb2NLYOUnOU,46.6867455,24.6899662,Al Olaya,Riyadh,7751.0,https://lh6.googleusercontent.com/-UDo3QAj2m5c/AAAAAAAAAAI/AAAAAAAAAAA/FvQB8WsqlTI/s44-p-k-no-ns-nd/photo.jpg,,,12212.0,,Claimed business,,SA|Riyadh|Olaya St|Al Olaya,,,,open,,https://www.google.com/maps/place/?q=place_id:ChIJHVJUQ0cDLz4RYb2NLYOUnOU,[],
Smart Shopping,+966 11 464 6999,Shopping mall,Shopping mall,https://smartshopping.sa/,4.1,7076.0,1: 9 AM–11:45 PM|2: 9 AM–11:45 PM|3: 9 AM–11:45 PM|4: 9 AM–11:45 PM|5: 9 AM–11:45 PM|6: 2–11:45 PM|7: 9 AM–11:45 PM,['https://lh5.googleusercontent.com/p/AF1QipNdbx6dmLwKdEGiT0nMCVtx_xwhSIeLuRA4o6Z0=w408-h306-k-no'],ChIJM7LAlXIDLz4RQcH-Izsw7Rg,46.7006536,24.694828,Al Olaya,Riyadh,2456.0,https://lh6.googleusercontent.com/-FZ62J9od6e0/AAAAAAAAAAI/AAAAAAAAAAA/kAypuH3hpCs/s44-p-k-no-ns-nd/photo.jpg,"Spacious department store providing a variety of informal fashions, dishes, pots & other homewares.",,12221.0,,Claimed business,,SA|Riyadh|3697 Prince Sultan Bin Abdulaziz Rd|Al Olaya,,,,open,,https://www.google.com/maps/place/?q=place_id:ChIJM7LAlXIDLz4RQcH-Izsw7Rg,[],
Fuddruckers,+966 11 464 1650,Hamburger restaurant,Hamburger restaurant|American restaurant|Restaurant|Steak house|Western restaurant,https://www.instagram.com/fuddruckersme/?hl=en,4.1,6669.0,"1: 11 AM–12:30 AM|2: 11 AM–12:30 AM|3: 11 AM–12:30 AM|4: 11 AM–12:30 AM|5: 11 AM–1 AM|6: 9–11:30 AM, 1 PM–1 AM|7: 9 AM–12:30 AM",['https://lh5.googleusercontent.com/p/AF1QipPTEn0eO7xHt41dPs3nxtEZnBN8bnfWGtzX4pAw=w426-h240-k-no'],ChIJwWlbsTUDLz4RiT876PDSkUE,46.673841,24.688864,Al Olaya,Riyadh,3026.0,https://lh3.googleusercontent.com/-CnkTDQtveF0/AAAAAAAAAAI/AAAAAAAAAAA/EYYcRsXYUIQ/s44-p-k-no-ns-nd/photo.jpg,"Family-friendly chain for burgers on housemade sesame seed buns, plus salads & shakes.",,12313.0,$$,Claimed business,Dine-in|Takeout|No-contact delivery,SA|Riyadh|شارع التخصصي الفرعي|Al Olaya,,,,open,"['https://drive.google.com/open?id=13fUgnds647F2Bo9Gv2zT3S7Ns2e6X8T-', 'https://drive.google.com/open?id=1-rM056SuMJlnC6v03avW01frHlRrsGME', 'https://drive.google.com/open?id=1r8YMfxSBp1gMQZhDr6a197jDwuGYzYau', 'https://drive.google.com/open?id=1u9gEBePLpoqNuE_uG8cOKKmrVTrFXrjm']",https://www.google.com/maps/place/?q=place_id:ChIJwWlbsTUDLz4RiT876PDSkUE,[],
Ghosn Sunboulah Restaurant,+966 50 707 0415,Fast food restaurant,Fast food restaurant,https://www.instagram.com/alsunbolah_cart/,3.7,6386.0,1: 6:30 AM–3 AM|2: 6:30 AM–3 AM|3: 6:30 AM–3 AM|4: 6:30 AM–3 AM|5: 6:30 AM–3 AM|6: 1:30 PM–3 AM|7: 6:30 AM–3 AM,['https://lh5.googleusercontent.com/p/AF1QipNZn5bJDV2wh8z-7rHQUoAomqKweqDitsHZxL0I=w427-h240-k-no'],ChIJy37kEiwDLz4RGhNQB1DqySo,46.6741077,24.7004879,Al Olaya,Riyadh,505.0,https://lh6.googleusercontent.com/-RNGfV4x3UVk/AAAAAAAAAAI/AAAAAAAAAAA/EhyaKYC0QSA/s44-p-k-no-ns-nd/photo.jpg,,,12331.0,$,Claimed business,Dine-in|Curbside pickup|No-contact delivery,SA|12331|Riyadh|4143 Musa Ibn Nusair St|Al Olaya,https://www.instagram.com/alsunbolah_cart/,instagram.com,,open,,https://www.google.com/maps/place/?q=place_id:ChIJy37kEiwDLz4RGhNQB1DqySo,[],
Swiss Butter - Century Corner,+966 53 339 0630,Restaurant,Restaurant|Steak house,https://swissbutter.com/,4.2,6297.0,1: 12 PM–12 AM|2: 12 PM–12 AM|3: 12 PM–12 AM|4: 12 PM–12 AM|5: 12 PM–1 AM|6: 12 PM–1 AM|7: 12 PM–12 AM,['https://lh5.googleusercontent.com/p/AF1QipNRaz29SbUWQh5S4hmQPaiaVNQ2DorAuQLc4cIN=w408-h544-k-no'],ChIJAQuMYGsDLz4RcdJShi6pS8E,46.6763125,24.7013125,Al Olaya,Riyadh,3647.0,https://lh5.googleusercontent.com/-qBi1t3GQUCw/AAAAAAAAAAI/AAAAAAAAAAA/hSMrSt6gwFI/s44-p-k-no-ns-nd/photo.jpg,,,12331.0,$$,Claimed business,Dine-in|Takeout|Delivery,SA|12331|Riyadh|PM2G+GG3 Century Corner|Al Olaya,,,,open,"['https://drive.google.com/open?id=1FjtVsY5XJa6Lc25HEaQ8WYDI-gn0Tv9c', 'https://drive.google.com/open?id=1zk2WEYWN48m9X9XMYtHd8BCAfOfIOOhU', 'https://drive.google.com/open?id=1lEbxGiozw6_qPMpOLhvUBnNoVNz2xuwX', 'https://drive.google.com/open?id=11NwrFgZ7JSCOOo2YL3VINBZPxyvzryAy']",https://www.google.com/maps/place/?q=place_id:ChIJAQuMYGsDLz4RcdJShi6pS8E,[],
